date,product,category,quantity,unit_price,country
2024-01-02,Keyboard,Electronics,1,29.99,USA
2024-01-03,Mouse,Electronics,2,14.99,USA
2024-01-04,Monitor,Electronics,1,149.99,Canada
2024-01-05,Desk,Office,1,89.99,USA
2024-01-05,Chair,Office,1,129.99,Germany
2024-01-07,Cable,Electronics,3,9.99,USA
2024-01-08,Laptop,Electronics,1,899.99,France
2024-01-09,Mouse,Electronics,1,14.99,Canada
2024-01-10,Keyboard,Electronics,2,29.99,Germany
2024-01-10,Desk,Office,1,89.99,USA
2024-01-11,Headphones,Electronics,1,59.99,USA
2024-01-11,Laptop Stand,Accessories,1,24.99,Canada
2024-01-12,Chair,Office,1,129.99,USA
